content,ename,more,name
在东京都葛饰区小菅的某座公寓里，发现了一具被勒死的女性遗体。被害者是在清洁公司上班、住在滋贺县的押谷道子（中岛博子 饰）。而杀人现场的住户越川睦夫也下落不明。而以松宫（沟端淳平 饰）等警视厅搜查一科的刑警们查不出越川与押谷道子有何交集，案件调查陷入困境。尽管查明押谷道子是为了拜访她的同学，即导演浅居博美（松岛菜菜子 饰）才来东京的，但博美与越川之间也找不出什么交集。这时，案发地点附近发现了被烧死的尸体，松宫怀疑两者有关联。从遗物中，发现了写有日本桥周围12座桥名的文字。知道此事后加贺恭一郎（阿部宽 饰）非常激动，因为那东西与他的亡母大有关联。,祈りの幕が下りる時,"祈りの幕が下りる時,剧情,悬疑,犯罪,
        日本
          / 119分钟
        ,2019-04-12大陆上映",祈祷落幕时
本片讲述了一桩因“狗咬狗”引发的连锁故事。余峰（黄磊 饰）、亮亮（闫妮 饰）、余一诺（安吉 饰）家的小狗妮蔻，为了救主人被隔壁藏獒咬成重伤，有权有势的藏獒主人却对余峰一家百般刁难。面对种种不公，余峰不再忍气吞声，发誓要为小狗讨回公道，但柴女士（汤唯 饰）等人的出现，却让矛盾进一步激化......狗生不易，小狗愿意用生命守护我们，我们又能为它做什么呢？,Push and Shove,"Push and Shove,剧情,家庭,
        中国大陆
          / 91分钟
        ,2019-04-20大陆上映",狗眼看人心
廉政公署收到报案人廖雨萍（周秀娜 饰）的实名举报，举报正在坐牢的富二代曹元元（林峯 饰）涉嫌行贿监狱里的监督沈济全（谭耀文 饰）以及惩教员，首席调查主任陆志廉（古天乐 饰）决定深入虎穴，卧底狱中。在监狱里，被陆志廉送入监狱的前警司黄文彬（林家栋 饰）以及曹元元两大帮派势成水火，陆志廉趁机接近曹元元取得信任。同时监狱外的廉政公署总调查主任程德明（郑嘉颖 饰）、国内反贪局行动处处长洪亮（丁海峰 饰）也陆港联手，通力合作，最终成功破获贪腐行贿大案。,P Storm,"P Storm,剧情,动作,犯罪,
        中国香港,中国大陆
          / 98分钟
        ,2019-04-04大陆上映",反贪风暴4
豫剧电影《清风亭》由朱赵伟导演执导、李学庭担当编剧，李阿梦担当执行导演，李树建、柏青领衔主演，青年演员王爱霞、王献光、郭付有、祁秋娥、刘晓光、吴江南等联袂出演。作为流传百年的古典名剧，《清风亭》故事家喻户晓，经改编由李树建重新搬上舞台，国内外演出千余场，此次，作为“忠孝节”悲情三部曲中的第二部，李树建联手电影改革派代表朱赵伟导演将这部感人剧目继《程婴救孤》后又搬上了大银幕。 电影版《清风亭》故事脉络更加清晰，采用电影的艺术手段将实景结合棚景拍摄，是为古典剧目影视表达的一次大胆尝试。片中的主题超越传统道德层面，挑战情感突破道德底线，立足于人物命运情感，对贫与富、恩与仇、名与利深入剖析，直指人性深处，传达了一种具有普遍价值观的人类情感。,Qing Feng Ting,"Qing Feng Ting,古装,
        中国大陆
        ,2011-04-08大陆上映",清风亭
小提琴家陆松（陈晓 饰）与室内设计师文罂（杜鹃 饰）巴黎邂逅，不打不相识，彼此迷恋越陷越深。爱情之名怂恿着他们为爱再大胆一次，走出各自问题满满的情感关系。仿佛只要现任变前任，幸福就唾手可得。然而前任们也都是战士，文罂的前任郑可（华少 饰）是个理性至极的医生，陆松的前任刘娟（马苏 饰）则在情感社区开启了喋喋不休的骂战，是继续坚持对爱的信仰，还是选择放下与原谅重新开始？现代都市情感危机在北京与巴黎街头上演。越是深爱的，往往也正是痛苦的源头，爱情，像是影子，抓不住却也离不开，如影随心……,Lost In Love,"Lost In Love,爱情,
        中国大陆
          / 96分钟
        ,2019-04-19 08:00大陆上映",如影随心
一艘满载剧毒原料的外籍巨轮被海盗劫持，转眼间船上所有的人全部离奇死亡！只有一只鹦鹉幸存。而这艘失去控制的巨轮仍按照自动驾驶程序向港口高速驶来......一场无人知晓的巨大灾难即将降临！生死关头，一个无意中能与动物对话的小女孩从动物那里知道了这个可怕的消息，但她把这个消息告诉大人时，没有人相信动物可以与人对话。危机之中，动物们行动起来，与女孩在一起，为拯救海洋，拯救岸上的城市和所有生命，迎着巨轮冲了上去。当女孩和动物们到达巨轮上时，他们却发现又一个更恐怖的惊天危机……,Animal Resuce Squad,"Animal Resuce Squad,剧情,冒险,科幻,家庭,
        中国大陆
          / 105分钟
        ,2019-04-30大陆上映",动物出击
每个人身体里都潜藏着一位超级英雄，只需要一点魔力便能将其释放。14岁的街头小混混比利·巴特森(亚瑟·安其 饰)通过大喊“沙赞”这个词，就可以变身为成年超级英雄沙赞(扎克瑞·莱维 饰)，这是一种来自于古老巫师的恩惠。如神一般的肌肉身体里，仍存有一颗孩子心，他开心地与超能力为伴。他能飞吗？他能X光透视吗？他能从手中射出闪电吗？他能不用再考试了吗？沙赞以孩子般轻率又鲁莽的方式，开始测试他的能力极限。但他需要尽快掌握这些力量，以对抗塞迪斯·希瓦纳博士（马克·斯特朗 饰）控制的邪恶势力。,Shazam!,"Shazam!,动作,冒险,奇幻,
        美国
          / 132分钟
        ,2019-04-05大陆上映",雷霆沙赞！
作为世界最长跨海大桥，港珠澳大桥全长55公里，海中桥隧长35.578公里，历时15年，总投资1200亿元……震撼世界的数字背后，是成千上万的平民英雄。2017年3月6日，最后一节沉管即将出坞，但伶仃洋上的大雾，让大桥建设者们的心悬了起来……,Hong Kong-Zhuhai-Macao Bridge,"Hong Kong-Zhuhai-Macao Bridge,纪录片,
        中国大陆
          / 70分钟
        ,2019-05-01大陆上映",港珠澳大桥
在一个远离京城的幽静田野，胡子拉碴的保长欢哥（古天乐 饰）慵懒倦怠，过着百无聊赖的生活。他的老婆红姐（吴君如 饰）经营一家包子铺，厨艺上佳，持家有道。夫妻俩看似讷言平庸，胸无大志，却很少有人知道他们曾经有着怎样的传奇经历。遥想当年，京城出了两个名震江湖的侠客炯炯侠和香香侠，他们济弱扶贫，惩恶扬善。两个大侠互相较劲，狭路相逢，却由此一见钟情，携手归隐江湖。他们隐藏着自己的一身武功和令人惊叹的超能力，决心安顿下来买间房子再生个孩子。谁曾想事与愿违，夫妇俩始终没有孩子令他们颇为烦恼，而就在此时一场武林大会突然在小山村召开，他们沉静的生活被彻底打破……,Mr. and Mrs. Incredible,"Mr. and Mrs. Incredible,喜剧,
        中国大陆,中国香港
          / 100分钟
        ,2011-02-03大陆上映",神奇侠侣
25年前一个风暴将至的夜晚，小男孩尼克目睹了邻居杀妻的全过程，被凶手发现的他在逃跑途中被车撞死。尼克死去25年后，幸福的已婚妇女维拉（阿德丽安娜·尤加特 饰）搬进了尼克住过的这所房子。一场和25年前一样的风暴让两段时空交错，惊醒的维拉发现自己竟能与电视机里的尼克跨时空对话。维拉透过电视机试图挽救这个男孩的性命，却引发一系列连锁反应——女儿消失、丈夫和身边的人全都不再认识和相信自己。于是，维拉只能在风暴消失前有限的15小时里，与唯一相信她的莱拉警长（奇诺·达林 饰）解开所有谜团……,Mirage,"Mirage,悬疑,科幻,爱情,
        西班牙
          / 129分钟
        ,2019-03-28 18:00大陆上映",海市蜃楼
影片由9个温暖励志的小故事组成，讲述9个弱势儿童群体追梦的故事。9个故事分别关注的是：贫困儿童、读写困难儿童、智障儿童、被拐卖儿童、盲童、肥胖儿童、聋哑儿童、少数民族留守儿童、服刑人员子女。 《有一天》包含的九支短片： 《独唱乐团》-聋哑儿童 他们住在寂静无声的世界里， 却能唱出最纯粹的歌。 《疯狂的面包》-智障儿童 他们终其一生都无法长大，但他们也拥有自己的悲伤快乐。 《回家的路》-被拐卖儿童 他们现在流落街头，但他们也曾是父母心头的宝贝。 《看不见的画》-视力障碍儿童 他们住在黑暗无光的世界里，却可能比我们看到更多。 《小笨蛋日记》-读写困难儿童 他们不会读课文，不会写作业，却可能是个小天才。 《太阳会飞》-服刑人员子女 他们的父母在接受惩罚，但他们依然值得被疼爱。 《小小电影院》-贫困儿童 他们的生活中少有光影故事，但他们依然有权利放飞梦想。 《秋扎》-肥胖儿童 他们的生活或许沉重，但如果给他们多一些关注，他们也会散发光彩。 《礼物》-留守儿童 他们的语言已经行将消失，但他们的文化依然是不一样的烟火。,One Day,"One Day,剧情,爱情,科幻,
        中国大陆
          / 93分钟
        ,2014-09-10大陆上映",有一天
影片讲述了一直假装盲人的钢琴调音师阿卡什（阿尤斯曼·库拉纳 饰），在意外成为一起凶杀案的“目击证人”后，所遭遇的种种出其不意的经历。,AndhaDhun,"AndhaDhun,悬疑,犯罪,喜剧,
        印度
          / 137分钟
        ,2019-04-03 18:00大陆上映",调音师
1985年的南宿一中，苗宛秋（于谦 饰）老师推自行车昂首走在校园，接受着人们艳羡的目光和纷至沓来的恭维。 桀傲不驯的洛小乙（王广源 饰）、温婉可人的安静（汤梦佳 饰）、新潮前卫的关婷婷（秦鸣悦 饰）、大智若愚的脑袋、舞痴兄弟文明（郝鹏飞 饰）建设（郜玄铭 饰）、八婆海燕（徐紫茵 饰）、奸商耗子（孙艺杨 饰）……三班是一个永远也不缺故事的集体。 苗宛秋怎么也不会想到，他即将走进的这个三班将会成为他以及他身边这辆自行车的噩梦。三班的同学也没有想到，这位新来的老师改变了他们的一生。,Song of Youth,"Song of Youth,剧情,喜剧,
        中国大陆
          / 111分钟
        ,2019-03-22大陆上映",老师·好
在马戏团老板麦克斯·美第奇（丹尼·德维托 饰）雇佣下，过气马戏明星霍尔特·法瑞尔（柯林·法瑞尔 饰）与儿女米莉（妮可·帕克 饰）和乔（芬利·霍宾斯 饰）一起，照顾刚出生就因耳朵巨大而受到嘲笑的小飞象。当三人发现小飞象真的会飞时，原本苦苦挣扎的马戏团重获新生，也招来企业家V.A.范德维尔（迈克尔·基顿 饰）的注意，邀请小飞象加入他旗下不同凡响的游乐设施，梦想王国。在那里，小飞象与迷人的空中杂技演员柯蕾特·马尔尚（爱娃·格林 饰）一起展翅高飞，但霍尔特却发现梦想王国光鲜的外表之下，藏着无数黑暗的秘密。,Dumbo,"Dumbo,动画,奇幻,家庭,
        美国
          / 112分钟
        ,2019-03-29大陆上映",小飞象
沿海小城，年轻警官杨家栋（井柏然 饰）初来乍到，恰遇建委主任唐奕杰（张颂文 饰）坠楼身亡，杨家栋展开调查，惨遭革职、追杀，一路逃往香港，与死者女儿小诺（马思纯 饰）意外邂逅，在小诺的协助下继续追查，浑然不觉自己正落入一个纯情陷阱。,The Shadow Play,"The Shadow Play,剧情,悬疑,犯罪,
        中国大陆
          / 124分钟
        ,2019-04-04 08:00大陆上映",风中有朵雨做的云
太阳即将毁灭，人类在地球表面建造出巨大的推进器，寻找新家园。然而宇宙之路危机四伏，为了拯救地球，为了人类能在漫长的2500年后抵达新的家园，流浪地球时代的年轻人挺身而出，展开争分夺秒的生死之战。,The Wandering Earth,"The Wandering Earth,剧情,冒险,科幻,
        中国大陆
          / 128分钟
        ,2019-02-05大陆上映",流浪地球
改编自漫威漫画，也是漫威电影宇宙第22部影片。复仇者联盟的一众超级英雄，必须抱着牺牲一切的信念，与史上最强大反派灭霸殊死一搏，阻止其摧毁宇宙的邪恶计划。,Avengers: Endgame,"Avengers: Endgame,动作,冒险,奇幻,
        美国
          / 181分钟
        ,2019-04-24大陆上映",复仇者联盟4：终局之战
马丁·斯科塞斯将制片人身份参与DC角色“小丑”的单人电影。华纳选择托德·菲利普斯（《宿醉》系列、《单身男子俱乐部》）执导，斯科特·西尔弗（《8英里》）撰写剧本。故事回归原初版小丑，邀请新演员来扮演。故事计划设定在70年代末80年代初。,Untitled Joker Origin Movie,"Untitled Joker Origin Movie,动作,惊悚,犯罪,
        美国
        ,2019-10-04美国上映",小丑
本次剧场版就如同标题《龙珠超 布罗利》所要表达的一样，是关于只在以前的剧场版动画中登场过的布罗利和悟空他们之间的故事。不仅如此，这次的电影还涉及到了动画中没有描写的弗利萨军队与赛亚人之间的历史。 因为在当时的《龙珠Z 燃起来！！热战・烈战・超激战》等剧场版动画中作者鸟山明并没有参与制作过程，就在他差点就要忘记“布罗利”这一角色的时候，从负责人那里听闻了“布罗利”在日本乃至国外的人气都很高这一事情，所以就有了“要不这次的电影就讲述布罗利的故事吧？”这样的想法。而后鸟山明观看了当时的动画电影，在构想一番后有了“这次的故事会相当的有趣”这样的预感，便加入《龙珠超》的设定尝试性地编写了剧本。过程中，为了不让喜欢布罗利的粉丝失望，作者鸟山明在保留了布罗利过去的部分形象的同时，也加入了全新的一面，也使得“布罗利”这一角色更为充满魅力。@yakutv.cc,ドラゴンボール超 ブロリー,"ドラゴンボール超 ブロリー,动画,动作,冒险,
        日本
          / 100分钟
        ,2019大陆上映",龙珠超：布罗利
刁亦男新片《南方车站的聚会》于2018年4月28日开机，胡歌、廖凡、桂纶镁、万茜主演。这也是继《白日焰火》后，刁亦男和廖凡、桂纶镁的第二次合作。胡歌为戏提前进组体验生活，而桂纶镁更是2018春节一过，就抵达拍摄地准备这部电影。影片的灵感来源于真实新闻事件，将讲述一个小偷在被追捕的过程中绝望地寻求救赎的故事。,Wild Goose Lake,"Wild Goose Lake,剧情,悬疑,犯罪,
        中国大陆
          / 117分钟
        ,2019大陆上映",南方车站的聚会
一直有个明星梦的小镇大龄女青年如梦（鄂靖文 饰）跑龙套多年未果。她和父亲（张琪 饰）关系紧张，亲友都劝她放弃，只有男友查理（张全蛋 饰）还支持她。在剧组，如梦遇见了年少时启发她演戏的男演员马可（王宝强 饰）。但此时过气多年的马可却因内心自卑而性情狂躁，对如梦百般折磨。如梦仍乐观坚持演戏，然而一次比一次沉重的打击却接踵而来，最后她决定放弃梦想，回到父母身边找了份稳定工作，但却得知自己入围了知名导演新片的大型选角。如梦陷入艰难抉择。,The New King of Comedy,"The New King of Comedy,剧情,喜剧,
        中国香港,中国大陆
          / 91分钟
        ,2019-02-05 08:00大陆上映",新喜剧之王
2个外星人来到好莱坞，由于他们的星球快要撞向太阳，他们需要人类来繁殖，方法是侦察进行着性行为的男女，然后把女传送到宇航船，那里她们会保持着昏睡状态，直到怀孕。,Wham Bam Thank You Spaceman,"Wham Bam Thank You Spaceman,喜剧,科幻,
        美国
          / 75分钟
        ,美国上映",恐怖片
16岁单非家庭女孩“佩佩”（黄尧 饰），她的城市既是香港、也是深圳，一边有身份，一边有生活。为了和闺蜜的约定，为了自己的存在感，为了懵懂的好感，她内心的冲动被点燃、“水客”成为了她的另一个身份，一段颇有“冒险”感的青春故事就此开始……,The Crossing,"The Crossing,剧情,冒险,青春,
        中国大陆
          / 99分钟
        ,2019-03-15大陆上映",过春天
本片讲述了一对好基友孟云（韩庚 饰）和余飞（郑恺 饰）跟女友都因为一点小事宣告分手，并且“拒绝挽回，死不认错”。两人在夜店、派对与交友软件上放飞人生第二春，大肆庆祝“黄金单身期”，从而引发了一系列好笑的故事。孟云与女友同甘共苦却难逃“五年之痒”，余飞与女友则棋逢敌手相爱相杀无绝期。然而现实的“打脸”却来得猝不及防：一对推拉纠结零往来，一对纠缠互怼全交代。两对恋人都将面对最终的选择：是再次相见？还是再也不见？,The Ex-file: The Return Of The Exes,"The Ex-file: The Return Of The Exes,喜剧,爱情,
        中国大陆
          / 120分钟
        ,2017-12-29大陆上映",前任3：再见前任
因故来到美国唐人街的叶问，意外卷入一场当地军方势力与华人武馆的纠纷，面对日益猖狂的民族歧视与压迫，叶问挺身而出，在美国海军陆战队军营拼死一战，以正宗咏春，向世界证明了中国功夫。,葉問4,"葉問4,动作,传记,历史,
        中国香港
        ",叶问4
动画《天气之子》以天气变化混乱的时代为背景，讲述被命运操控的少年与少女，自己“选择”生存方式的故事：高中生森岛帆高离家出走前往东京，他将遇见拥有不可思议力量的少女天野阳菜——她通过祈祷便能令天气变晴。,天気の子,"天気の子,爱情,动画,奇幻,
        日本
        ,2019-07-19日本上映",天气之子
数月前，张英雄（王锵 饰）的父亲张肃清因为拆迁房的问题与政府拆迁办的陆志强发生口角，心高气傲的张肃清突发心梗，撒手人寰。张英雄与母亲接受舅舅的接济而寄人篱下，舅舅与舅妈对他们的言语中充满了嘲讽与轻蔑，为此张英雄搬出舅舅家，在一家小店当起了服务生。而这个小店的某个视角刚好能够窥见陆志强的家。于是陆珊珊（周冬雨 饰）走进了他的世界里，这位“仇人”的女儿是一个智力低于常人的女孩，乖巧单纯，行为幼稚，令人匪夷所思。但是他却发现自己渐渐爱上了陆珊珊，从而使他对“复仇”的意义产生了怀疑。,On the Balcony,"On the Balcony,剧情,
        中国大陆
          / 100分钟
        ,2019-03-15 08:00大陆上映",阳台上
晚唐年间，国师发动民众大量捕蛇。前去刺杀国师的白蛇意外失忆，被捕蛇村少年救下。为帮助少女找回记忆，两人踏上一段冒险旅程，冒险的过程让两人感情迅速升温，但少女蛇妖的身份也逐渐显露，另一边国师与蛇族之间不可避免的大战也即将打响，两人的爱情将要接受巨大考验。,White Snake,"White Snake,爱情,动画,奇幻,
        中国大陆
          / 99分钟
        ,2019-01-11大陆上映",白蛇：缘起
从小被父母遗弃的电台制作人凯伊（权相宇 饰）和因交通事故痛失双亲的作词人洛琳（李宝英 饰），两人似家人、朋友和恋人一样生活在一起，填补了彼此生活里的空席。但一场绝症让凯伊只剩下200多天生命，他不舍得留下洛琳一人决定隐瞒病情为她寻找一个可以托付终身的男人。事业有成、温柔体贴的牙医朱焕（李凡秀 饰）适时的出现，凯伊决定让他成为照顾洛琳的最佳人选。首次见到洛琳的朱焕便对其一见钟情，不可自拔，而洛琳也似乎对他存有好感。一切都在凯伊的计划中，洛琳和朱焕顺利发展着感情，并到了谈婚论嫁的地步。凯伊亲自为洛琳挑选了结婚的礼服，带着留恋和真挚的祝福在教堂牵着她的手一步一步走到朱焕身边。最后没有任何遗憾的凯伊离开了人世，而事实上，故事，远比这里所写更悲伤......,슬픔보다 더 슬픈 이야기,"슬픔보다 더 슬픈 이야기,剧情,爱情,
        韩国
          / 105分钟
        ,2009-03-11韩国上映",比悲伤更悲伤的故事
影片的主演汤姆·赫兰德也确认，他跟索尼签了《蜘蛛侠：归来》三部曲的片约，同时还会客串漫威的多部电影，漫威电影宇宙越来越精彩了。,Untitled Spider-Man Homecoming: Sequel,"Untitled Spider-Man Homecoming: Sequel,动作,科幻,冒险,
        美国
        ",蜘蛛侠：英雄归来3
在恋人（张曼玉 饰）负气嫁给兄长的当晚，欧阳锋（张国荣 饰）黯然离开白陀山，走进沙漠某个小镇，成为一名杀手中介人。他的朋友、风流剑客黄药师（梁家辉 饰）每年都来小镇与他畅饮，酒话里有关白陀山的消息令他忘却往事的念想渐次演变成自欺行为。黄药师只是表面风流。他迷恋好友“盲武士”（梁朝伟 饰）的妻子桃花（刘嘉玲 饰），后者在丈夫死后，永远地离开了他；而对迷恋他的女人慕容嫣（林青霞 饰），他又不愿兑现曾经随口说出的承诺，这使得慕容嫣迷失于自己的身份中。与欧阳锋构成短暂“买凶杀人”关系的洪七（张学友 饰）、村姑（杨采妮 饰）等人，也都有一段只有他们自己才知、不愿回首的痛苦过往。,東邪西毒,"東邪西毒,剧情,动作,爱情,
        中国香港,中国台湾
          / 100分钟
        ,1994-09-17大陆上映",东邪西毒
“海贼王”时隔3年将再度推出剧场版。,ONE PIECE STAMPEDE,"ONE PIECE STAMPEDE,动画,冒险,
        日本
        ,2019-08-09日本上映",海贼王：狂热行动
无力维权的修车工遭遇非法强拆后，选择跳楼自杀；随着小刑警孙大圣（王千源 饰）调查的深入，发现这场看似简单的民事纠纷背后其实另有隐情；随着嫌疑目标的锁定，赵泰（包贝尔 饰）和崔京民（王迅 饰）为代表的反派集团被盯上后，公然藐视法律挑衅警察。面对反派集团金钱诱惑、顶头上司的警告劝阻、家人性命遭受威胁，这场力量悬殊的正邪较量将会如何收场……,The Big Shot,"The Big Shot,动作,犯罪,
        中国大陆
          / 107分钟
        ,2019-01-10大陆上映",“大”人物
讲述在绝大多数人都有超能力的未来时代，没有天赋的异能少年，如何凭努力与坚持打破绝境，成长为最强英雄，守卫世界和平的故事。 剧场版以移动科研都市“我之岛”为舞台，描绘正反两派的殊死激战。在第一英雄被困之际，少年与英雄科同学拼死克敌，却在无意中探得隐秘真相，剧情随之反转！,僕のヒーローアカデミア THE MOVIE ～2人の英雄～,"僕のヒーローアカデミア THE MOVIE ～2人の英雄～,动画,
        日本
          / 96分钟
        ,2019-03-15大陆上映",我的英雄学院：两位英雄
